iter	Passed	Remaining
0	27	27237
1	59	29883
2	77	25695
3	122	30498
4	145	28905
5	170	28234
6	201	28629
7	229	28495
8	251	27655
9	268	26567
10	290	26083
11	311	25643
12	333	25335
13	370	26104
14	388	25505
15	416	25610
16	439	25426
17	473	25847
18	496	25611
19	514	25230
20	531	24785
21	555	24682
22	576	24484
23	593	24117
24	620	24201
25	644	24160
26	669	24124
27	684	23761
28	702	23527
29	732	23692
30	751	23488
31	794	24020
32	867	25432
33	903	25659
34	935	25783
35	952	25512
36	997	25954
37	1078	27294
38	1120	27607
39	1137	27291
40	1200	28071
41	1219	27822
42	1257	27975
43	1281	27848
44	1304	27681
45	1331	27603
46	1368	27743
47	1392	27610
48	1409	27349
49	1426	27096
50	1444	26881
51	1473	26862
52	1514	27063
53	1533	26867
54	1552	26682
55	1581	26656
56	1598	26452
57	1616	26254
58	1635	26090
59	1656	25951
60	1680	25866
61	1699	25715
62	1724	25644
63	1757	25704
64	1781	25623
65	1805	25550
66	1828	25462
67	1846	25313
68	1868	25211
69	1895	25188
70	1912	25029
71	1937	24969
72	1980	25144
73	2018	25258
74	2067	25497
75	2102	25567
76	2130	25533
77	2147	25382
78	2171	25316
79	2210	25420
80	2234	25353
81	2254	25237
82	2274	25126
83	2297	25048
84	2322	25000
85	2339	24861
86	2375	24932
87	2391	24787
88	2408	24653
89	2431	24580
90	2447	24449
91	2478	24459
92	2495	24341
93	2521	24306
94	2544	24240
95	2564	24151
96	2587	24083
97	2604	23968
98	2623	23874
99	2635	23721
100	2659	23673
101	2676	23560
102	2699	23509
103	2718	23416
104	2735	23317
105	2756	23251
106	2776	23172
107	2817	23273
108	2835	23181
109	2859	23132
110	2888	23130
111	2903	23020
112	2928	22989
113	2957	22984
114	2983	22961
115	2998	22850
116	3019	22789
117	3066	22919
118	3116	23076
119	3132	22973
120	3155	22924
121	3180	22888
122	3201	22829
123	3225	22786
124	3249	22743
125	3265	22649
126	3300	22687
127	3326	22659
128	3344	22578
129	3362	22501
130	3385	22455
131	3408	22413
132	3426	22334
133	3454	22325
134	3474	22260
135	3498	22227
136	3522	22186
137	3545	22146
138	3560	22052
139	3593	22072
140	3619	22048
141	3638	21984
142	3657	21921
143	3680	21878
144	3712	21890
145	3727	21803
146	3746	21738
147	3766	21680
148	3805	21736
149	3822	21663
150	3848	21640
151	3870	21591
152	3885	21507
153	3909	21477
154	3934	21449
155	3949	21367
156	3969	21313
157	3983	21230
158	4009	21207
159	4023	21125
160	4045	21084
161	4083	21122
162	4139	21256
163	4155	21182
164	4177	21140
165	4200	21104
166	4219	21045
167	4237	20987
168	4255	20924
169	4284	20920
170	4310	20896
171	4328	20838
172	4345	20774
173	4369	20743
174	4383	20663
175	4404	20619
176	4417	20541
177	4439	20502
178	4454	20431
179	4508	20537
180	4540	20543
181	4566	20524
182	4580	20449
183	4598	20391
184	4620	20355
185	4637	20296
186	4663	20274
187	4687	20245
188	4708	20205
189	4725	20144
190	4753	20133
191	4777	20105
192	4796	20055
193	4812	19992
194	4834	19957
195	4846	19879
196	4894	19948
197	4921	19934
198	4935	19866
199	4959	19839
200	4977	19788
201	5003	19766
202	5020	19711
203	5035	19649
204	5052	19594
205	5090	19618
206	5139	19689
207	5160	19650
208	5184	19620
209	5203	19575
210	5222	19529
211	5238	19471
212	5253	19412
213	5281	19400
214	5300	19352
215	5320	19310
216	5334	19249
217	5367	19254
218	5384	19203
219	5416	19205
220	5432	19150
221	5448	19092
222	5465	19042
223	5486	19006
224	5518	19007
225	5533	18950
226	5549	18896
227	5564	18841
228	5587	18810
229	5610	18783
230	5630	18744
231	5644	18684
232	5674	18678
233	5690	18627
234	5710	18588
235	5730	18551
236	5749	18510
237	5988	19173
238	6015	19154
239	6055	19174
240	6082	19156
241	6115	19155
242	6166	19210
243	6184	19160
244	6214	19150
245	6230	19097
246	6257	19075
247	6284	19054
248	6301	19004
249	6321	18965
250	6338	18914
251	6364	18890
252	6381	18842
253	6395	18783
254	6413	18738
255	6439	18713
256	6470	18705
257	6487	18657
258	6503	18606
259	6518	18552
260	6538	18514
261	6559	18475
262	6575	18426
263	6593	18382
264	6607	18327
265	6625	18281
266	6645	18242
267	6667	18211
268	6687	18172
269	6701	18118
270	6718	18074
271	6733	18020
272	6752	17982
273	6774	17951
274	6793	17910
275	6810	17864
276	6832	17832
277	6854	17800
278	6883	17788
279	6900	17744
280	6916	17697
281	6937	17663
282	6956	17624
283	6973	17582
284	6997	17554
285	7013	17509
286	7036	17481
287	7067	17471
288	7082	17424
289	7170	17556
290	7188	17515
291	7221	17508
292	7266	17533
293	7315	17566
294	7337	17534
295	7363	17513
296	7387	17485
297	7406	17447
298	7438	17439
299	7464	17416
300	7503	17425
301	7523	17388
302	7543	17352
303	7572	17336
304	7591	17297
305	7613	17266
306	7634	17233
307	7888	17723
308	7923	17719
309	7969	17739
310	7987	17695
311	8006	17655
312	8021	17606
313	8048	17583
314	8072	17553
315	8125	17588
316	8169	17602
317	8189	17563
318	8205	17517
319	8221	17471
320	8247	17445
321	8266	17406
322	8291	17378
323	8313	17345
324	8328	17296
325	8349	17261
326	8369	17225
327	8388	17186
328	8402	17136
329	8417	17089
330	8434	17047
331	8456	17015
332	8471	16968
333	8491	16932
334	8508	16889
335	8526	16849
336	8563	16846
337	8580	16805
338	8602	16774
339	8622	16738
340	8637	16692
341	8657	16657
342	8671	16610
343	8688	16569
344	8704	16525
345	8721	16485
346	8766	16497
347	8779	16448
348	8799	16413
349	8819	16379
350	8844	16354
351	8870	16329
352	8891	16297
353	8905	16251
354	8925	16216
355	8943	16177
356	9329	16803
357	9407	16870
358	9494	16952
359	9533	16948
360	9578	16955
361	9614	16945
362	9747	17104
363	9894	17287
364	9945	17302
365	9981	17290
366	9997	17243
367	10036	17236
368	10053	17192
369	10080	17164
370	10099	17122
371	10129	17099
372	10145	17054
373	10174	17029
374	10230	17051
375	10254	17018
376	10267	16968
377	10292	16936
378	10322	16913
379	10340	16871
380	10354	16821
381	10365	16769
382	10391	16740
383	10429	16729
384	10452	16697
385	10472	16658
386	10503	16637
387	10525	16602
388	10546	16564
389	10560	16517
390	10576	16474
391	10592	16428
392	10614	16394
393	10654	16386
394	10679	16357
395	10707	16331
396	10745	16321
397	10761	16277
398	10783	16242
399	10796	16194
400	10832	16181
401	10848	16138
402	10884	16123
403	10903	16084
404	10919	16041
405	10943	16010
406	10960	15969
407	10975	15924
408	10997	15891
409	11009	15843
410	11032	15810
411	11054	15776
412	11073	15738
413	11100	15712
414	11114	15668
415	11133	15629
416	11147	15585
417	11168	15549
418	11201	15532
419	11243	15527
420	11255	15479
421	11278	15447
422	11295	15407
423	11314	15370
424	11339	15341
425	11355	15299
426	11371	15259
427	11395	15229
428	11412	15189
429	11435	15158
